Jul 14, 2019  10:49:19 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


  1.00,  -5.66E-010, 
  1.10,  -1.17E-010, 
  1.20,   5.31E-008, 
  1.30,   2.32E-007, 
  1.40,   5.21E-008, 
  1.50,   3.37E-008, 
  1.60,   6.76E-008, 
  1.70,   1.12E-007, 
  1.80,   1.57E-007, 
  1.90,   1.93E-007, 
  2.00,   1.98E-007, 
  2.10,   1.99E-007, 
  2.20,   1.72E-007, 
  2.30,   1.09E-007, 
  2.40,   3.38E-008, 
  2.50,   1.29E-008, 
  2.60,   6.51E-009, 
  2.70,   3.90E-009, 
  2.80,   2.34E-009, 
  2.90,   1.47E-009, 
  3.00,   1.10E-009, 
  3.10,   7.48E-010, 
  3.20,   6.24E-010, 
  3.30,   5.12E-010, 
  3.40,   3.40E-010, 
  3.50,   1.61E-010, 
  3.60,   2.76E-010, 
  3.70,  -4.70E-011, 
  3.80,  -1.04E-010, 
  3.90,  -1.33E-010, 
  4.00,  -3.37E-010, 
  4.10,  -4.60E-010, 
  4.20,  -4.34E-010, 
  4.30,  -3.39E-010, 
  4.40,  -5.75E-010, 
  4.50,  -4.71E-010, 
  4.60,  -4.39E-010, 
  4.70,  -5.25E-010, 
  4.80,  -6.20E-010, 
  4.90,  -5.35E-010, 
  5.00,  -5.76E-010, 
  5.10,  -5.55E-010, 
  5.20,  -6.69E-010, 
  5.30,  -8.02E-010, 
  5.40,  -6.89E-010, 
  5.50,  -6.40E-010, 
  5.60,  -4.35E-010, 
  5.70,  -5.47E-010, 
  5.80,  -6.81E-010, 
  5.90,  -6.49E-010, 
  6.00,  -5.73E-010, 
  6.10,  -6.60E-010, 
  6.20,  -6.69E-010, 
  6.30,  -5.22E-010, 
  6.40,  -5.17E-010, 
  6.50,  -7.18E-010, 
