Jul 14, 2019  10:50:49 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 10.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps
Start time, Jul 14, 2019  10:50:49 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           H2                    1.00         2            OFF
2         12.00          Carbon                1.00         2            OFF
3         14.00          Nitrogen              1.00         2            OFF
4         16.00          CH4                   1.00         2            OFF
5         18.00          H2O                   1.00         2            OFF
6         28.00          CO                    1.00         2            OFF
7         32.00          O2                    1.00         2            OFF
8         34.00          H2S                   1.00         2            OFF
9         40.00          KH/NaOH               1.00         2            OFF
10        44.00          CO2                   1.00         2            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

0.000,   2.0544E-007,   5.4819E-009,   9.7996E-008,   2.1981E-007,   6.3634E-006,   1.5530E-006,   6.8027E-007,   3.6386E-009,   4.5886E-008,   6.1155E-008,  
10.000,   2.0772E-007,   5.9277E-009,   9.8111E-008,   2.1641E-007,   5.9614E-006,   1.4792E-006,   6.4728E-007,   3.5518E-009,   4.3601E-008,   5.9848E-008,  
20.000,   2.0744E-007,   5.6530E-009,   9.6018E-008,   2.1683E-007,   5.8795E-006,   1.4525E-006,   6.3877E-007,   3.6711E-009,   4.3443E-008,   5.9428E-008,  
30.000,   2.0814E-007,   5.9530E-009,   9.6087E-008,   2.1612E-007,   5.7118E-006,   1.4321E-006,   6.2000E-007,   3.4759E-009,   4.3169E-008,   5.9780E-008,  
40.000,   2.0819E-007,   5.7241E-009,   9.5484E-008,   2.1114E-007,   5.6986E-006,   1.4220E-006,   6.1962E-007,   3.5578E-009,   4.3041E-008,   5.8539E-008,  
50.000,   2.0826E-007,   5.6819E-009,   9.4228E-008,   2.1131E-007,   5.6259E-006,   1.4096E-006,   6.1422E-007,   3.5181E-009,   4.2990E-008,   5.8945E-008,  
60.000,   2.0577E-007,   5.8157E-009,   9.5441E-008,   2.1117E-007,   5.6387E-006,   1.4123E-006,   6.0856E-007,   3.4060E-009,   4.3408E-008,   5.8712E-008,  
70.000,   2.0428E-007,   5.7952E-009,   9.3954E-008,   2.1213E-007,   5.6262E-006,   1.4117E-006,   6.0727E-007,   3.4687E-009,   4.2453E-008,   5.8019E-008,  
80.000,   2.0432E-007,   5.7518E-009,   9.5481E-008,   2.1008E-007,   5.5766E-006,   1.4851E-006,   6.1820E-007,   3.3952E-009,   4.3464E-008,   5.8924E-008,  
90.000,   2.0480E-007,   5.6313E-009,   9.4524E-008,   2.1103E-007,   5.5871E-006,   1.4064E-006,   6.0835E-007,   3.5337E-009,   4.2636E-008,   5.8145E-008,  
100.000,   2.0308E-007,   5.6253E-009,   9.5193E-008,   2.1075E-007,   5.6073E-006,   1.4046E-006,   6.0600E-007,   3.3193E-009,   4.2873E-008,   5.8813E-008,  
110.000,   2.0287E-007,   5.6675E-009,   9.5216E-008,   2.0967E-007,   5.5570E-006,   1.4068E-006,   5.9770E-007,   3.3181E-009,   4.2720E-008,   5.7995E-008,  
120.000,   2.0125E-007,   5.9205E-009,   9.5294E-008,   2.1168E-007,   5.5320E-006,   1.4055E-006,   6.0152E-007,   3.3880E-009,   4.2955E-008,   5.8802E-008,  
130.000,   2.0095E-007,   5.8494E-009,   9.3625E-008,   2.0717E-007,   5.5275E-006,   1.4033E-006,   6.0007E-007,   3.5675E-009,   4.2676E-008,   5.8230E-008,  
140.000,   1.9958E-007,   5.6928E-009,   9.5392E-008,   2.0882E-007,   5.4886E-006,   1.3920E-006,   6.0015E-007,   3.4458E-009,   4.2094E-008,   5.7227E-008,  
150.000,   1.9902E-007,   5.7084E-009,   9.4419E-008,   2.0847E-007,   5.4860E-006,   1.4049E-006,   5.9746E-007,   3.3120E-009,   4.3063E-008,   5.7354E-008,  
160.000,   1.9871E-007,   5.7988E-009,   9.5201E-008,   2.0877E-007,   5.5289E-006,   1.4002E-006,   5.9578E-007,   3.5229E-009,   4.2702E-008,   5.7548E-008,  
170.000,   1.9698E-007,   5.6663E-009,   9.4772E-008,   2.0634E-007,   5.4962E-006,   1.3915E-006,   5.9526E-007,   3.4096E-009,   4.2324E-008,   5.6833E-008,  
180.000,   1.9702E-007,   5.5675E-009,   9.5353E-008,   2.0454E-007,   5.4580E-006,   1.3943E-006,   5.9613E-007,   3.2976E-009,   4.2619E-008,   5.7296E-008,  
190.000,   1.9463E-007,   5.5157E-009,   9.5908E-008,   2.0602E-007,   5.4176E-006,   1.4070E-006,   5.9448E-007,   3.5169E-009,   4.2678E-008,   5.6827E-008,  
200.000,   1.9472E-007,   5.3289E-009,   9.4174E-008,   2.0722E-007,   5.4162E-006,   1.3943E-006,   5.8991E-007,   3.3410E-009,   4.2460E-008,   5.6717E-008,  
210.000,   1.9479E-007,   5.6337E-009,   9.4045E-008,   2.0594E-007,   5.4241E-006,   1.3951E-006,   5.9459E-007,   3.2675E-009,   4.2887E-008,   5.7246E-008,  
220.000,   1.9499E-007,   5.5988E-009,   9.4945E-008,   2.0466E-007,   5.4297E-006,   1.3938E-006,   5.8910E-007,   3.4337E-009,   4.2892E-008,   5.7084E-008,  
230.000,   1.9078E-007,   5.8530E-009,   9.4775E-008,   2.0717E-007,   5.4074E-006,   1.4004E-006,   5.8995E-007,   3.2482E-009,   4.2486E-008,   5.6778E-008,  
240.016,   1.9241E-007,   5.9120E-009,   9.4235E-008,   2.0443E-007,   5.3951E-006,   1.3969E-006,   5.8990E-007,   3.2410E-009,   4.3116E-008,   5.6700E-008,  
250.000,   1.9031E-007,   5.6386E-009,   9.3878E-008,   2.0410E-007,   5.3518E-006,   1.3974E-006,   5.8992E-007,   3.5048E-009,   4.3201E-008,   5.6687E-008,  
260.000,   1.9151E-007,   5.6410E-009,   9.3723E-008,   2.0457E-007,   5.3320E-006,   1.3932E-006,   5.8523E-007,   3.5000E-009,   4.2599E-008,   5.6957E-008,  
270.000,   1.9076E-007,   5.5349E-009,   9.4705E-008,   2.0425E-007,   5.3954E-006,   1.3907E-006,   5.8787E-007,   3.5470E-009,   4.2411E-008,   5.6183E-008,  
280.000,   1.9017E-007,   5.7446E-009,   9.4498E-008,   2.0326E-007,   5.3602E-006,   1.4097E-006,   5.8535E-007,   3.3867E-009,   4.2907E-008,   5.6329E-008,  
290.000,   1.8934E-007,   5.5036E-009,   9.4155E-008,   2.0140E-007,   5.2829E-006,   1.3974E-006,   5.8961E-007,   3.6205E-009,   4.3001E-008,   5.6231E-008,  
300.000,   1.8787E-007,   5.6265E-009,   9.4749E-008,   2.0404E-007,   5.3297E-006,   1.3887E-006,   5.8649E-007,   3.2855E-009,   4.3045E-008,   5.6672E-008,  
310.000,   1.8874E-007,   5.2337E-009,   9.3790E-008,   2.0180E-007,   5.3150E-006,   1.3864E-006,   5.8397E-007,   3.4880E-009,   4.3131E-008,   5.6049E-008,  
320.000,   1.8818E-007,   5.4277E-009,   9.4707E-008,   2.0399E-007,   5.3139E-006,   1.3915E-006,   5.8591E-007,   3.3157E-009,   4.2999E-008,   5.5799E-008,  
330.000,   1.8729E-007,   5.2904E-009,   9.3640E-008,   2.0207E-007,   5.2740E-006,   1.3878E-006,   5.8556E-007,   3.3446E-009,   4.3063E-008,   5.6116E-008,  
340.000,   1.8663E-007,   5.3771E-009,   9.4830E-008,   2.0080E-007,   5.2455E-006,   1.3888E-006,   5.8792E-007,   3.4542E-009,   4.2794E-008,   5.6311E-008,  
350.000,   1.8664E-007,   5.4301E-009,   9.5390E-008,   2.0094E-007,   5.2485E-006,   1.3908E-006,   5.8346E-007,   3.4000E-009,   4.2719E-008,   5.6002E-008,  
360.000,   1.8695E-007,   5.7060E-009,   9.4693E-008,   2.0141E-007,   5.2716E-006,   1.3877E-006,   5.8457E-007,   3.6663E-009,   4.2954E-008,   5.6354E-008,  
370.000,   1.8598E-007,   5.5120E-009,   9.4080E-008,   2.0060E-007,   5.2292E-006,   1.3828E-006,   5.8845E-007,   3.3916E-009,   4.2720E-008,   5.5819E-008,  
380.000,   1.8576E-007,   5.4422E-009,   9.5019E-008,   2.0138E-007,   5.2302E-006,   1.3786E-006,   5.8182E-007,   3.2855E-009,   4.3000E-008,   5.5540E-008,  
390.000,   1.8413E-007,   5.6157E-009,   9.4660E-008,   2.0233E-007,   5.2206E-006,   1.3915E-006,   5.8093E-007,   3.3916E-009,   4.3169E-008,   5.5349E-008,  
400.000,   1.8423E-007,   5.5530E-009,   9.4916E-008,   2.0013E-007,   5.1958E-006,   1.3862E-006,   5.8020E-007,   3.3904E-009,   4.2840E-008,   5.5728E-008,  
