Jul 14, 2019  10:05:11 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


 20.00,   2.79E-008, 
 20.10,   3.07E-008, 
 20.20,   2.85E-008, 
 20.30,   1.41E-008, 
 20.40,   6.54E-009, 
 20.50,   3.55E-009, 
 20.60,   2.00E-009, 
 20.70,   1.32E-009, 
 20.80,   9.18E-010, 
 20.90,   4.81E-010, 
 21.00,   9.88E-011, 
 21.10,  -6.39E-011, 
 21.20,  -1.30E-010, 
 21.30,  -2.27E-010, 
 21.40,  -1.53E-010, 
 21.50,  -1.90E-010, 
 21.60,  -2.82E-010, 
 21.70,  -5.66E-011, 
 21.80,  -1.65E-010, 
 21.90,  -1.10E-010, 
 22.00,   9.76E-011, 
 22.10,   1.19E-010, 
 22.20,   8.55E-011, 
 22.30,  -1.45E-010, 
 22.40,  -3.82E-010, 
 22.50,  -6.94E-010, 
 22.60,  -4.40E-010, 
 22.70,  -4.90E-010, 
 22.80,  -5.65E-010, 
 22.90,  -4.40E-010, 
 23.00,  -4.72E-010, 
 23.10,  -5.57E-010, 
 23.20,  -5.28E-010, 
 23.30,  -7.92E-010, 
 23.40,  -8.70E-010, 
 23.50,  -5.49E-010, 
 23.60,  -4.86E-010, 
 23.70,  -4.57E-010, 
 23.80,  -4.90E-010, 
 23.90,  -4.98E-010, 
 24.00,  -5.84E-010, 
 24.10,  -6.20E-010, 
 24.20,  -7.60E-010, 
 24.30,  -7.86E-010, 
 24.40,  -8.05E-010, 
 24.50,  -8.06E-010, 
 24.60,  -7.51E-010, 
 24.70,  -8.16E-010, 
 24.80,  -7.51E-010, 
 24.90,  -8.18E-010, 
 25.00,  -6.36E-010, 
 25.10,  -7.29E-010, 
 25.20,  -7.78E-010, 
 25.30,  -6.92E-010, 
 25.40,  -7.94E-010, 
 25.50,  -9.55E-010, 
 25.60,  -9.13E-010, 
 25.70,  -9.76E-010, 
 25.80,  -9.01E-010, 
 25.90,  -5.61E-010, 
 26.00,  -4.86E-010, 
 26.10,  -5.49E-010, 
 26.20,  -6.30E-010, 
 26.30,  -6.11E-010, 
 26.40,  -7.84E-010, 
 26.50,  -6.99E-010, 
 26.60,  -7.45E-010, 
 26.70,  -6.23E-010, 
 26.80,  -2.54E-010, 
 26.90,   3.10E-010, 
 27.00,   1.40E-009, 
 27.10,   3.20E-009, 
 27.20,   7.77E-009, 
 27.30,   1.89E-008, 
 27.40,   5.17E-008, 
 27.50,   4.93E-007, 
 27.60,   9.29E-007, 
 27.70,   1.44E-006, 
 27.80,   1.62E-006, 
 27.90,   1.70E-006, 
 28.00,   1.83E-006, 
 28.10,   2.01E-006, 
 28.20,   1.12E-006, 
 28.30,   7.57E-008, 
 28.40,   2.04E-008, 
 28.50,   1.22E-008, 
 28.60,   1.23E-008, 
 28.70,   1.47E-008, 
 28.80,   1.85E-008, 
 28.90,   2.04E-008, 
 29.00,   2.17E-008, 
 29.10,   2.35E-008, 
 29.20,   2.11E-008, 
 29.30,   1.05E-008, 
 29.40,   4.97E-009, 
 29.50,   3.20E-009, 
 29.60,   2.94E-009, 
 29.70,   3.11E-009, 
 29.80,   3.85E-009, 
 29.90,   4.27E-009, 
 30.00,   4.67E-009, 
 30.10,   5.27E-009, 
 30.20,   4.61E-009, 
 30.30,   2.32E-009, 
 30.40,   1.19E-009, 
 30.50,   5.42E-010, 
 30.60,   1.73E-010, 
 30.70,   3.61E-012, 
 30.80,   5.18E-011, 
 30.90,   4.01E-010, 
 31.00,   1.38E-009, 
 31.10,   2.40E-009, 
 31.20,   4.42E-009, 
 31.30,   9.23E-009, 
 31.40,   2.33E-008, 
 31.50,   1.97E-007, 
 31.60,   4.05E-007, 
 31.70,   6.33E-007, 
 31.80,   7.16E-007, 
 31.90,   7.76E-007, 
 32.00,   8.01E-007, 
 32.10,   8.08E-007, 
 32.20,   3.22E-007, 
 32.30,   3.92E-008, 
 32.40,   1.47E-008, 
 32.50,   7.87E-009, 
 32.60,   5.04E-009, 
 32.70,   3.67E-009, 
 32.80,   3.21E-009, 
 32.90,   2.64E-009, 
 33.00,   2.41E-009, 
 33.10,   2.49E-009, 
 33.20,   2.00E-009, 
 33.30,   1.20E-009, 
 33.40,   7.05E-010, 
 33.50,   7.49E-010, 
 33.60,   1.04E-009, 
 33.70,   1.52E-009, 
 33.80,   1.84E-009, 
 33.90,   2.19E-009, 
 34.00,   2.57E-009, 
 34.10,   2.86E-009, 
 34.20,   2.29E-009, 
 34.30,   1.20E-009, 
 34.40,   4.60E-010, 
 34.50,  -9.40E-011, 
 34.60,  -3.12E-010, 
 34.70,  -5.67E-010, 
 34.80,  -6.02E-010, 
 34.90,  -6.33E-010, 
 35.00,  -6.75E-010, 
 35.10,  -7.46E-010, 
 35.20,  -7.66E-010, 
 35.30,  -8.61E-010, 
 35.40,  -9.27E-010, 
 35.50,  -6.69E-010, 
 35.60,  -5.99E-010, 
 35.70,  -5.17E-010, 
 35.80,  -4.98E-010, 
 35.90,  -5.27E-010, 
 36.00,  -5.53E-010, 
 36.10,  -3.55E-010, 
 36.20,  -3.83E-010, 
 36.30,  -7.11E-010, 
 36.40,  -8.00E-010, 
 36.50,  -8.13E-010, 
 36.60,  -7.98E-010, 
 36.70,  -7.76E-010, 
 36.80,  -7.17E-010, 
 36.90,  -8.23E-010, 
 37.00,  -7.60E-010, 
 37.10,  -8.31E-010, 
 37.20,  -1.00E-009, 
 37.30,  -8.77E-010, 
 37.40,  -9.25E-010, 
 37.50,  -1.01E-009, 
 37.60,  -8.94E-010, 
 37.70,  -8.16E-010, 
 37.80,  -8.43E-010, 
 37.90,  -7.98E-010, 
 38.00,  -7.81E-010, 
 38.10,  -7.94E-010, 
 38.20,  -6.94E-010, 
 38.30,  -8.20E-010, 
 38.40,  -9.67E-010, 
 38.50,  -7.89E-010, 
 38.60,  -9.01E-010, 
 38.70,  -1.06E-009, 
 38.80,  -8.16E-010, 
 38.90,  -7.69E-010, 
 39.00,  -9.19E-010, 
 39.10,  -7.06E-010, 
 39.20,  -4.57E-010, 
