Jul 05, 2019  10:11:18 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


 20.00,   6.60E-009, 
 20.10,   7.36E-009, 
 20.20,   6.18E-009, 
 20.30,   3.44E-009, 
 20.40,   1.98E-009, 
 20.50,   1.15E-009, 
 20.60,   5.72E-010, 
 20.70,   3.98E-010, 
 20.80,   7.11E-011, 
 20.90,   3.01E-011, 
 21.00,  -6.63E-011, 
 21.10,  -2.60E-010, 
 21.20,  -3.10E-010, 
 21.30,  -2.71E-010, 
 21.40,  -4.80E-010, 
 21.50,  -4.33E-010, 
 21.60,  -5.42E-010, 
 21.70,  -5.42E-010, 
 21.80,  -3.11E-010, 
 21.90,  -3.00E-010, 
 22.00,  -3.12E-010, 
 22.10,  -1.65E-010, 
 22.20,  -1.83E-010, 
 22.30,  -3.37E-010, 
 22.40,  -4.01E-010, 
 22.50,  -5.18E-010, 
 22.60,  -6.86E-010, 
 22.70,  -6.43E-010, 
 22.80,  -5.14E-010, 
 22.90,  -5.33E-010, 
 23.00,  -4.12E-010, 
 23.10,  -4.82E-010, 
 23.20,  -7.04E-010, 
 23.30,  -5.76E-010, 
 23.40,  -4.04E-010, 
 23.50,  -5.84E-010, 
 23.60,  -4.80E-010, 
 23.70,  -2.87E-010, 
 23.80,  -6.10E-010, 
 23.90,  -6.24E-010, 
 24.00,  -5.47E-010, 
 24.10,  -6.59E-010, 
 24.20,  -7.02E-010, 
 24.30,  -5.43E-010, 
 24.40,  -6.47E-010, 
 24.50,  -5.88E-010, 
 24.60,  -6.00E-010, 
 24.70,  -6.81E-010, 
 24.80,  -6.82E-010, 
 24.90,  -7.01E-010, 
 25.00,  -6.71E-010, 
 25.10,  -5.52E-010, 
 25.20,  -6.14E-010, 
 25.30,  -8.27E-010, 
 25.40,  -7.42E-010, 
 25.50,  -7.29E-010, 
 25.60,  -6.34E-010, 
 25.70,  -4.11E-010, 
 25.80,  -1.05E-010, 
 25.90,  -1.87E-010, 
 26.00,  -2.61E-010, 
 26.10,  -1.43E-010, 
 26.20,  -4.27E-010, 
 26.30,  -4.99E-010, 
 26.40,  -5.93E-010, 
 26.50,  -8.52E-010, 
 26.60,  -4.54E-010, 
 26.70,  -2.17E-010, 
 26.80,  -2.01E-010, 
 26.90,   3.45E-010, 
 27.00,   1.41E-009, 
 27.10,   2.76E-009, 
 27.20,   5.89E-009, 
 27.30,   1.36E-008, 
 27.40,   4.19E-008, 
 27.50,   3.87E-007, 
 27.60,   6.87E-007, 
 27.70,   1.03E-006, 
 27.80,   1.10E-006, 
 27.90,   1.18E-006, 
 28.00,   1.31E-006, 
 28.10,   1.27E-006, 
 28.20,   3.24E-007, 
 28.30,   3.51E-008, 
 28.40,   1.49E-008, 
 28.50,   1.00E-008, 
 28.60,   9.02E-009, 
 28.70,   1.02E-008, 
 28.80,   1.15E-008, 
 28.90,   1.21E-008, 
 29.00,   1.26E-008, 
 29.10,   1.33E-008, 
 29.20,   9.58E-009, 
 29.30,   4.89E-009, 
 29.40,   2.96E-009, 
 29.50,   2.26E-009, 
 29.60,   2.15E-009, 
 29.70,   2.27E-009, 
 29.80,   2.38E-009, 
 29.90,   2.55E-009, 
 30.00,   2.65E-009, 
 30.10,   2.62E-009, 
 30.20,   2.14E-009, 
 30.30,   1.28E-009, 
 30.40,   4.95E-010, 
 30.50,   1.76E-010, 
 30.60,   3.73E-011, 
 30.70,   7.23E-012, 
 30.80,   1.40E-010, 
 30.90,   3.73E-010, 
 31.00,   8.12E-010, 
 31.10,   1.58E-009, 
 31.20,   3.27E-009, 
 31.30,   6.74E-009, 
 31.40,   2.13E-008, 
 31.50,   1.50E-007, 
 31.60,   2.96E-007, 
 31.70,   4.48E-007, 
 31.80,   4.87E-007, 
 31.90,   4.99E-007, 
 32.00,   5.24E-007, 
 32.10,   4.36E-007, 
 32.20,   9.36E-008, 
 32.30,   2.20E-008, 
 32.40,   1.06E-008, 
 32.50,   5.98E-009, 
 32.60,   4.01E-009, 
 32.70,   3.00E-009, 
 32.80,   2.23E-009, 
