Jul 19, 2019  10:43:49 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


  1.00,  -4.51E-010, 
  1.10,   2.97E-009, 
  1.20,   4.02E-007, 
  1.30,   5.43E-007, 
  1.40,   8.36E-008, 
  1.50,   2.29E-007, 
  1.60,   4.55E-007, 
  1.70,   5.71E-007, 
  1.80,   6.96E-007, 
  1.90,   7.31E-007, 
  2.00,   7.42E-007, 
  2.10,   7.10E-007, 
  2.20,   6.14E-007, 
  2.30,   3.50E-007, 
  2.40,   5.56E-008, 
  2.50,   1.71E-008, 
  2.60,   8.62E-009, 
  2.70,   5.05E-009, 
  2.80,   3.31E-009, 
  2.90,   2.57E-009, 
  3.00,   1.94E-009, 
  3.10,   1.62E-009, 
  3.20,   1.23E-009, 
  3.30,   9.37E-010, 
  3.40,   6.51E-010, 
  3.50,   3.92E-010, 
  3.60,   1.88E-010, 
  3.70,   1.93E-010, 
  3.80,   3.73E-011, 
  3.90,  -8.07E-011, 
  4.00,  -1.20E-011, 
  4.10,  -4.70E-011, 
  4.20,  -2.55E-010, 
  4.30,  -1.29E-010, 
  4.40,  -3.53E-010, 
  4.50,  -4.83E-010, 
  4.60,  -5.78E-010, 
  4.70,  -5.77E-010, 
  4.80,  -5.00E-010, 
  4.90,  -5.73E-010, 
  5.00,  -6.02E-010, 
  5.10,  -6.28E-010, 
  5.20,  -4.47E-010, 
  5.30,  -3.49E-010, 
  5.40,  -4.51E-010, 
  5.50,  -4.65E-010, 
  5.60,  -5.41E-010, 
  5.70,  -7.10E-010, 
  5.80,  -6.37E-010, 
  5.90,  -6.70E-010, 
  6.00,  -7.07E-010, 
  6.10,  -5.76E-010, 
  6.20,  -4.76E-010, 
  6.30,  -5.72E-010, 
  6.40,  -6.82E-010, 
  6.50,  -6.66E-010, 
