Jul 20, 2019  10:15:57 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


 19.90,   4.75E-009, 
 20.00,   5.67E-009, 
 20.10,   5.93E-009, 
 20.20,   5.17E-009, 
 20.30,   2.96E-009, 
 20.40,   1.48E-009, 
 20.50,   8.54E-010, 
 20.60,   6.20E-010, 
 20.70,   2.49E-010, 
 20.80,   2.10E-010, 
 20.90,   1.80E-010, 
 21.00,  -1.33E-010, 
 21.10,  -1.27E-010, 
 21.20,   3.61E-012, 
 21.30,  -1.71E-010, 
 21.40,  -1.29E-010, 
 21.50,  -1.33E-010, 
 21.60,  -8.67E-011, 
 21.70,  -1.93E-011, 
 21.80,  -7.95E-011, 
 21.90,  -1.70E-010, 
 22.00,  -1.02E-010, 
 22.10,   1.39E-010, 
 22.20,  -8.19E-011, 
 22.30,  -1.57E-011, 
 22.40,   2.41E-011, 
 22.50,   7.23E-012, 
 22.60,   6.39E-011, 
 22.70,  -4.10E-011, 
 22.80,  -4.27E-010, 
 22.90,  -4.30E-010, 
 23.00,  -4.47E-010, 
 23.10,  -4.35E-010, 
 23.20,  -3.86E-010, 
 23.30,  -3.05E-010, 
 23.40,  -4.02E-010, 
 23.50,  -4.25E-010, 
 23.60,  -2.40E-010, 
 23.70,  -3.18E-010, 
 23.80,  -5.23E-010, 
 23.90,  -5.66E-010, 
 24.00,  -5.51E-010, 
 24.10,  -5.73E-010, 
 24.20,  -5.33E-010, 
 24.30,  -5.39E-010, 
 24.40,  -5.08E-010, 
 24.50,  -3.43E-010, 
 24.60,  -3.35E-010, 
 24.70,  -4.66E-010, 
 24.80,  -4.27E-010, 
 24.90,  -4.24E-010, 
 25.00,  -3.83E-010, 
 25.10,  -4.11E-010, 
 25.20,  -3.60E-010, 
 25.30,  -3.10E-010, 
 25.40,  -3.93E-010, 
 25.50,  -4.55E-010, 
 25.60,  -4.66E-010, 
 25.70,  -3.60E-010, 
 25.80,  -3.92E-010, 
 25.90,  -4.94E-010, 
 26.00,  -4.49E-010, 
 26.10,  -4.69E-010, 
 26.20,  -5.59E-010, 
 26.30,  -5.29E-010, 
 26.40,  -4.13E-010, 
 26.50,  -4.53E-010, 
 26.60,  -5.07E-010, 
 26.70,  -3.55E-010, 
 26.80,  -3.22E-010, 
 26.90,   6.02E-011, 
 27.00,   9.05E-010, 
 27.10,   2.37E-009, 
 27.20,   5.37E-009, 
 27.30,   1.44E-008, 
 27.40,   5.59E-008, 
 27.50,   4.31E-007, 
 27.60,   7.61E-007, 
 27.70,   1.02E-006, 
 27.80,   1.06E-006, 
 27.90,   1.11E-006, 
 28.00,   1.22E-006, 
 28.10,   1.22E-006, 
 28.20,   3.41E-007, 
 28.30,   3.66E-008, 
 28.40,   1.50E-008, 
 28.50,   9.51E-009, 
 28.60,   8.42E-009, 
 28.70,   9.01E-009, 
 28.80,   9.80E-009, 
 28.90,   9.90E-009, 
 29.00,   1.03E-008, 
 29.10,   1.06E-008, 
 29.20,   7.94E-009, 
 29.30,   4.32E-009, 
 29.40,   2.59E-009, 
 29.50,   1.99E-009, 
 29.60,   1.82E-009, 
 29.70,   1.72E-009, 
 29.80,   1.63E-009, 
 29.90,   1.71E-009, 
 30.00,   1.71E-009, 
 30.10,   1.77E-009, 
 30.20,   1.36E-009, 
 30.30,   1.01E-009, 
 30.40,   5.82E-010, 
 30.50,   4.83E-010, 
 30.60,   2.94E-010, 
 30.70,   1.24E-010, 
 30.80,   2.00E-010, 
 30.90,   4.34E-010, 
 31.00,   1.00E-009, 
 31.10,   1.85E-009, 
 31.20,   3.45E-009, 
 31.30,   7.71E-009, 
 31.40,   2.77E-008, 
 31.50,   1.69E-007, 
 31.60,   3.25E-007, 
 31.70,   4.49E-007, 
 31.80,   4.65E-007, 
 31.90,   4.73E-007, 
 32.00,   5.06E-007, 
 32.10,   4.37E-007, 
 32.20,   9.95E-008, 
 32.30,   2.25E-008, 
 32.40,   1.06E-008, 
 32.50,   6.17E-009, 
 32.60,   4.23E-009, 
 32.70,   3.32E-009, 
 32.80,   2.85E-009, 
 32.90,   2.28E-009, 
 33.00,   1.96E-009, 
 33.10,   1.57E-009, 
 33.20,   1.30E-009, 
 33.30,   9.24E-010, 
 33.40,   6.96E-010, 
 33.50,   8.70E-010, 
 33.60,   1.19E-009, 
 33.70,   1.56E-009, 
 33.80,   1.91E-009, 
 33.90,   2.01E-009, 
 34.00,   2.21E-009, 
 34.10,   2.04E-009, 
 34.20,   1.55E-009, 
 34.30,   7.27E-010, 
 34.40,   5.36E-010, 
 34.50,   3.57E-010, 
 34.60,   6.51E-011, 
 34.70,   6.99E-011, 
 34.80,   4.94E-011, 
 34.90,  -1.41E-010, 
 35.00,  -9.40E-011, 
 35.10,  -1.20E-011, 
 35.20,  -9.28E-011, 
 35.30,  -6.75E-011, 
 35.40,   8.07E-011, 
 35.50,  -9.16E-011, 
 35.60,  -2.77E-011, 
 35.70,   1.27E-010, 
 35.80,  -1.10E-010, 
 35.90,  -1.60E-010, 
 36.00,   7.23E-012, 
 36.10,  -2.89E-011, 
 36.20,  -1.53E-010, 
 36.30,  -1.33E-010, 
 36.40,  -2.13E-010, 
 36.50,  -2.25E-010, 
 36.60,  -1.37E-010, 
 36.70,  -2.31E-010, 
 36.80,  -3.99E-010, 
 36.90,  -3.84E-010, 
 37.00,  -5.25E-010, 
 37.10,  -3.96E-010, 
 37.20,  -1.83E-010, 
 37.30,  -1.01E-010, 
 37.40,  -4.10E-010, 
 37.50,  -3.00E-010, 
 37.60,  -4.10E-010, 
 37.70,  -4.48E-010, 
 37.80,  -3.81E-010, 
 37.90,  -4.60E-010, 
 38.00,  -4.99E-010, 
 38.10,  -4.78E-010, 
 38.20,  -6.19E-010, 
 38.30,  -5.61E-010, 
 38.40,  -5.94E-010, 
 38.50,  -5.87E-010, 
 38.60,  -5.07E-010, 
 38.70,  -3.36E-010, 
 38.80,  -5.86E-010, 
 38.90,  -4.22E-010, 
 39.00,  -2.72E-010, 
 39.10,  -1.90E-010, 
 39.20,   5.30E-011, 
 39.30,   5.00E-010, 
 39.40,   1.96E-009, 
 39.50,   7.04E-009, 
 39.60,   1.54E-008, 
 39.70,   2.47E-008, 
 39.80,   3.26E-008, 
 39.90,   3.71E-008, 
 40.00,   3.83E-008, 
 40.10,   3.03E-008, 
 40.20,   1.39E-008, 
 40.30,   6.07E-009, 
 40.40,   3.12E-009, 
 40.50,   1.83E-009, 
 40.60,   9.84E-010, 
 40.70,   5.08E-010, 
 40.80,   1.55E-010, 
 40.90,  -1.45E-011, 
 41.00,  -1.07E-010, 
 41.10,   1.57E-011, 
 41.20,  -6.99E-011, 
 41.30,  -2.01E-010, 
 41.40,  -1.40E-010, 
 41.50,  -3.36E-010, 
 41.60,  -4.36E-010, 
 41.70,  -2.65E-010, 
 41.80,  -2.59E-010, 
 41.90,  -3.52E-010, 
 42.00,  -2.63E-010, 
 42.10,  -3.20E-010, 
 42.20,  -2.19E-010, 
 42.30,   3.49E-011, 
 42.40,  -8.07E-011, 
 42.50,  -1.75E-010, 
 42.60,  -1.20E-011, 
 42.70,  -1.65E-010, 
 42.80,  -2.27E-010, 
 42.90,  -5.42E-011, 
 43.00,  -1.45E-011, 
 43.10,  -7.23E-012, 
 43.20,  -1.02E-010, 
 43.30,  -2.35E-010, 
 43.40,   2.39E-010, 
 43.50,   1.78E-009, 
 43.60,   3.71E-009, 
 43.70,   6.02E-009, 
 43.80,   8.65E-009, 
 43.90,   1.06E-008, 
 44.00,   1.20E-008, 
 44.10,   1.10E-008, 
 44.20,   6.30E-009, 
 44.30,   2.97E-009, 
 44.40,   1.53E-009, 
 44.50,   6.76E-010, 
 44.60,   3.71E-010, 
 44.70,   3.07E-010, 
 44.80,  -1.08E-011, 
 44.90,  -2.42E-010, 
 45.00,  -1.77E-010, 
 45.10,  -1.86E-010, 
 45.20,  -2.73E-010, 
 45.30,  -2.34E-010, 
 45.40,  -2.06E-010, 
 45.50,  -4.07E-010, 
 45.60,  -3.86E-010, 
 45.70,  -3.76E-010, 
 45.80,  -4.29E-010, 
 45.90,  -4.12E-010, 
 46.00,  -3.72E-010, 
 46.10,  -4.36E-010, 
 46.20,  -5.24E-010, 
 46.30,  -6.40E-010, 
 46.40,  -5.16E-010, 
 46.50,  -2.99E-010, 
 46.60,  -4.53E-010, 
 46.70,  -6.66E-010, 
 46.80,  -4.17E-010, 
 46.90,  -4.31E-010, 
 47.00,  -4.86E-010, 
 47.10,  -5.10E-010, 
 47.20,  -5.16E-010, 
 47.30,  -4.99E-010, 
 47.40,  -5.48E-010, 
 47.50,  -6.02E-010, 
 47.60,  -5.11E-010, 
 47.70,  -3.75E-010, 
 47.80,  -3.96E-010, 
 47.90,  -4.49E-010, 
 48.00,  -3.16E-010, 
 48.10,  -3.22E-010, 
 48.20,  -3.29E-010, 
 48.30,  -3.60E-010, 
 48.40,  -4.72E-010, 
 48.50,  -4.96E-010, 
 48.60,  -4.33E-010, 
 48.70,  -5.17E-010, 
 48.80,  -5.70E-010, 
 48.90,  -3.60E-010, 
 49.00,  -3.60E-010, 
 49.10,  -4.89E-010, 
 49.20,  -5.27E-010, 
 49.30,  -5.99E-010, 
 49.40,  -4.18E-010, 
 49.50,  -3.69E-010, 
 49.60,  -5.43E-010, 
 49.70,  -5.48E-010, 
 49.80,  -8.04E-010, 
 49.90,  -5.46E-010, 
 50.00,  -5.33E-010, 
 50.10,  -6.49E-010, 
 50.20,  -6.00E-010, 
 50.30,  -5.52E-010, 
 50.40,  -6.93E-010, 
 50.50,  -4.22E-010, 
 50.60,  -4.72E-010, 
 50.70,  -6.01E-010, 
 50.80,  -6.78E-010, 
 50.90,  -6.96E-010, 
 51.00,  -8.49E-010, 
 51.10,  -7.58E-010, 
 51.20,  -6.17E-010, 
 51.30,  -7.60E-010, 
 51.40,  -7.53E-010, 
 51.50,  -6.93E-010, 
 51.60,  -7.01E-010, 
