Jul 08, 2019  09:52:56 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


  1.00,  -1.33E-010, 
  1.10,   3.13E-011, 
  1.20,   2.72E-008, 
  1.30,   1.48E-007, 
  1.40,   4.28E-008, 
  1.50,   2.57E-008, 
  1.60,   4.55E-008, 
  1.70,   7.98E-008, 
  1.80,   1.24E-007, 
  1.90,   1.58E-007, 
  2.00,   1.70E-007, 
  2.10,   1.70E-007, 
  2.20,   1.53E-007, 
  2.30,   9.19E-008, 
  2.40,   2.93E-008, 
  2.50,   1.16E-008, 
  2.60,   5.78E-009, 
  2.70,   3.51E-009, 
  2.80,   2.28E-009, 
  2.90,   1.49E-009, 
  3.00,   9.83E-010, 
  3.10,   8.37E-010, 
  3.20,   5.01E-010, 
  3.30,   3.25E-010, 
  3.40,   2.18E-010, 
  3.50,   2.41E-012, 
  3.60,   1.69E-011, 
  3.70,   3.37E-011, 
  3.80,  -2.36E-010, 
  3.90,  -2.49E-010, 
  4.00,  -8.43E-011, 
  4.10,  -2.22E-010, 
  4.20,  -3.06E-010, 
  4.30,  -2.23E-010, 
  4.40,  -3.67E-010, 
  4.50,  -3.83E-010, 
  4.60,  -3.66E-010, 
  4.70,  -4.75E-010, 
  4.80,  -2.98E-010, 
  4.90,  -1.66E-010, 
  5.00,  -5.22E-010, 
  5.10,  -4.84E-010, 
  5.20,  -3.36E-010, 
  5.30,  -4.28E-010, 
  5.40,  -4.96E-010, 
  5.50,  -4.01E-010, 
  5.60,  -5.16E-010, 
  5.70,  -6.47E-010, 
  5.80,  -6.83E-010, 
  5.90,  -5.82E-010, 
  6.00,  -4.35E-010, 
  6.10,  -4.06E-010, 
  6.20,  -5.75E-010, 
  6.30,  -7.89E-010, 
  6.40,  -6.94E-010, 
  6.50,  -7.72E-010, 
