Jul 08, 2019  09:06:50 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


 20.00,   1.75E-008, 
 20.10,   2.00E-008, 
 20.20,   2.05E-008, 
 20.30,   1.29E-008, 
 20.40,   6.01E-009, 
 20.50,   3.38E-009, 
 20.60,   2.20E-009, 
 20.70,   1.30E-009, 
 20.80,   9.19E-010, 
 20.90,   6.34E-010, 
 21.00,   3.49E-010, 
 21.10,   2.69E-010, 
 21.20,   2.20E-010, 
 21.30,   5.42E-011, 
 21.40,  -2.77E-011, 
 21.50,   3.61E-012, 
 21.60,  -1.65E-010, 
 21.70,  -2.05E-011, 
 21.80,   3.13E-011, 
 21.90,  -9.76E-011, 
 22.00,   2.41E-012, 
 22.10,   1.53E-010, 
 22.20,   1.80E-010, 
 22.30,  -1.95E-010, 
 22.40,  -2.23E-010, 
 22.50,  -5.39E-010, 
 22.60,  -5.73E-010, 
 22.70,  -4.57E-010, 
 22.80,  -6.00E-010, 
 22.90,  -5.72E-010, 
 23.00,  -4.29E-010, 
 23.10,  -6.16E-010, 
 23.20,  -7.35E-010, 
 23.30,  -6.73E-010, 
 23.40,  -8.41E-010, 
 23.50,  -7.14E-010, 
 23.60,  -5.20E-010, 
 23.70,  -8.10E-010, 
 23.80,  -1.03E-009, 
 23.90,  -7.29E-010, 
 24.00,  -7.78E-010, 
 24.10,  -5.82E-010, 
 24.20,  -5.18E-010, 
 24.30,  -7.20E-010, 
 24.40,  -6.82E-010, 
 24.50,  -5.72E-010, 
 24.60,  -8.05E-010, 
 24.70,  -7.86E-010, 
 24.80,  -4.27E-010, 
 24.90,  -4.49E-010, 
 25.00,  -2.60E-010, 
 25.10,  -3.14E-010, 
 25.20,  -5.27E-010, 
 25.30,  -4.36E-010, 
 25.40,  -5.00E-010, 
 25.50,  -7.82E-010, 
 25.60,  -6.72E-010, 
 25.70,  -6.22E-010, 
 25.80,  -5.39E-010, 
 25.90,  -3.49E-010, 
 26.00,  -1.01E-010, 
 26.10,  -3.48E-010, 
 26.20,  -4.41E-010, 
 26.30,  -4.63E-010, 
 26.40,  -6.10E-010, 
 26.50,  -5.77E-010, 
 26.60,  -5.06E-010, 
 26.70,  -6.12E-010, 
 26.80,  -3.39E-010, 
 26.90,   1.10E-010, 
 27.00,   5.55E-010, 
 27.10,   1.64E-009, 
 27.20,   3.99E-009, 
 27.30,   8.75E-009, 
 27.40,   1.98E-008, 
 27.50,   1.17E-007, 
 27.60,   5.44E-007, 
 27.70,   8.49E-007, 
 27.80,   1.14E-006, 
 27.90,   1.30E-006, 
 28.00,   1.34E-006, 
 28.10,   1.42E-006, 
 28.20,   1.13E-006, 
 28.30,   1.36E-007, 
 28.40,   2.43E-008, 
 28.50,   1.17E-008, 
 28.60,   9.16E-009, 
 28.70,   9.34E-009, 
 28.80,   1.13E-008, 
 28.90,   1.33E-008, 
 29.00,   1.48E-008, 
 29.10,   1.58E-008, 
 29.20,   1.57E-008, 
 29.30,   9.56E-009, 
 29.40,   4.63E-009, 
 29.50,   2.66E-009, 
 29.60,   2.57E-009, 
 29.70,   2.73E-009, 
 29.80,   3.54E-009, 
 29.90,   4.64E-009, 
 30.00,   5.07E-009, 
 30.10,   5.43E-009, 
 30.20,   5.48E-009, 
 30.30,   3.15E-009, 
 30.40,   1.59E-009, 
 30.50,   8.94E-010, 
 30.60,   4.60E-010, 
 30.70,   2.60E-010, 
 30.80,   3.67E-010, 
 30.90,   1.96E-010, 
 31.00,   6.02E-010, 
 31.10,   1.36E-009, 
 31.20,   2.20E-009, 
 31.30,   4.18E-009, 
 31.40,   9.64E-009, 
 31.50,   4.15E-008, 
 31.60,   2.27E-007, 
 31.70,   3.94E-007, 
 31.80,   5.35E-007, 
 31.90,   6.22E-007, 
 32.00,   6.47E-007, 
 32.10,   6.73E-007, 
 32.20,   4.66E-007, 
 32.30,   6.55E-008, 
 32.40,   1.85E-008, 
 32.50,   9.21E-009, 
 32.60,   5.59E-009, 
 32.70,   3.84E-009, 
 32.80,   3.04E-009, 
 32.90,   2.52E-009, 
 33.00,   2.06E-009, 
 33.10,   1.72E-009, 
 33.20,   1.61E-009, 
 33.30,   1.13E-009, 
 33.40,   7.19E-010, 
 33.50,   5.58E-010, 
 33.60,   4.45E-010, 
 33.70,   6.99E-010, 
 33.80,   1.12E-009, 
 33.90,   1.61E-009, 
 34.00,   1.93E-009, 
 34.10,   2.46E-009, 
 34.20,   2.26E-009, 
 34.30,   1.16E-009, 
 34.40,   5.20E-010, 
 34.50,   1.20E-012, 
 34.60,  -2.53E-010, 
 34.70,  -2.96E-010, 
 34.80,  -1.46E-010, 
 34.90,  -2.28E-010, 
 35.00,  -1.86E-010, 
 35.10,  -2.29E-010, 
 35.20,  -4.72E-010, 
 35.30,  -5.35E-010, 
 35.40,  -6.76E-010, 
 35.50,  -5.64E-010, 
 35.60,  -4.35E-010, 
 35.70,  -4.05E-010, 
 35.80,  -4.89E-010, 
 35.90,  -3.90E-010, 
 36.00,  -3.28E-010, 
 36.10,  -2.14E-010, 
 36.20,  -1.52E-010, 
 36.30,  -3.10E-010, 
 36.40,  -5.96E-010, 
 36.50,  -6.36E-010, 
 36.60,  -6.95E-010, 
 36.70,  -7.51E-010, 
 36.80,  -5.17E-010, 
 36.90,  -5.20E-010, 
 37.00,  -6.05E-010, 
 37.10,  -5.25E-010, 
 37.20,  -6.77E-010, 
 37.30,  -7.59E-010, 
 37.40,  -6.18E-010, 
 37.50,  -7.83E-010, 
 37.60,  -6.61E-010, 
 37.70,  -6.11E-010, 
 37.80,  -5.60E-010, 
 37.90,  -7.27E-010, 
 38.00,  -6.71E-010, 
 38.10,  -5.90E-010, 
 38.20,  -7.36E-010, 
 38.30,  -6.42E-010, 
 38.40,  -8.16E-010, 
 38.50,  -9.46E-010, 
 38.60,  -8.52E-010, 
 38.70,  -8.49E-010, 
 38.80,  -9.48E-010, 
 38.90,  -7.77E-010, 
 39.00,  -6.90E-010, 
 39.10,  -7.57E-010, 
 39.20,  -5.94E-010, 
 39.30,  -4.41E-010, 
 39.40,  -1.10E-010, 
 39.50,   1.20E-009, 
 39.60,   6.02E-009, 
 39.70,   1.35E-008, 
 39.80,   2.26E-008, 
 39.90,   3.26E-008, 
 40.00,   3.88E-008, 
 40.10,   4.19E-008, 
 40.20,   3.21E-008, 
 40.30,   1.38E-008, 
 40.40,   6.20E-009, 
 40.50,   2.88E-009, 
 40.60,   1.37E-009, 
 40.70,   6.98E-010, 
 40.80,   4.05E-010, 
 40.90,   1.28E-010, 
 41.00,  -9.64E-012, 
 41.10,  -2.05E-011, 
 41.20,  -9.88E-011, 
 41.30,  -2.00E-010, 
 41.40,  -4.30E-010, 
 41.50,  -6.39E-010, 
 41.60,  -5.83E-010, 
 41.70,  -4.35E-010, 
 41.80,  -3.10E-010, 
 41.90,  -1.39E-010, 
 42.00,  -1.52E-010, 
 42.10,  -3.78E-010, 
 42.20,  -3.30E-010, 
 42.30,  -4.04E-010, 
 42.40,  -6.11E-010, 
 42.50,  -6.46E-010, 
 42.60,  -4.33E-010, 
 42.70,  -4.13E-010, 
 42.80,  -1.04E-010, 
 42.90,   1.13E-010, 
 43.00,   8.43E-011, 
 43.10,   3.14E-010, 
 43.20,   4.86E-010, 
 43.30,   2.88E-010, 
 43.40,   5.31E-010, 
 43.50,   1.95E-009, 
 43.60,   8.78E-009, 
 43.70,   1.93E-008, 
 43.80,   3.31E-008, 
 43.90,   4.61E-008, 
 44.00,   5.71E-008, 
 44.10,   5.87E-008, 
 44.20,   4.94E-008, 
 44.30,   2.23E-008, 
 44.40,   9.43E-009, 
 44.50,   4.42E-009, 
 44.60,   2.36E-009, 
 44.70,   1.57E-009, 
 44.80,   1.21E-009, 
 44.90,   1.10E-009, 
 45.00,   1.13E-009, 
 45.10,   7.14E-010, 
 45.20,   5.78E-010, 
 45.30,   3.61E-010, 
 45.40,  -2.61E-010, 
 45.50,  -4.48E-010, 
 45.60,  -3.41E-010, 
 45.70,  -5.10E-010, 
 45.80,  -3.93E-010, 
 45.90,  -4.02E-010, 
 46.00,  -5.39E-010, 
 46.10,  -4.73E-010, 
 46.20,  -3.83E-010, 
 46.30,  -5.47E-010, 
 46.40,  -5.33E-010, 
 46.50,  -5.70E-010, 
 46.60,  -8.00E-010, 
 46.70,  -9.55E-010, 
 46.80,  -8.43E-010, 
 46.90,  -9.31E-010, 
 47.00,  -9.43E-010, 
 47.10,  -8.83E-010, 
 47.20,  -9.49E-010, 
 47.30,  -1.08E-009, 
 47.40,  -1.20E-009, 
 47.50,  -1.15E-009, 
 47.60,  -1.02E-009, 
 47.70,  -1.03E-009, 
 47.80,  -1.10E-009, 
 47.90,  -7.77E-010, 
 48.00,  -6.08E-010, 
 48.10,  -6.47E-010, 
 48.20,  -6.55E-010, 
 48.30,  -5.46E-010, 
 48.40,  -8.30E-010, 
 48.50,  -9.98E-010, 
 48.60,  -8.19E-010, 
 48.70,  -1.03E-009, 
 48.80,  -1.07E-009, 
 48.90,  -7.20E-010, 
 49.00,  -9.96E-010, 
 49.10,  -9.61E-010, 
 49.20,  -9.28E-010, 
 49.30,  -1.00E-009, 
 49.40,  -8.71E-010, 
 49.50,  -6.90E-010, 
 49.60,  -8.64E-010, 
 49.70,  -1.01E-009, 
 49.80,  -8.43E-010, 
 49.90,  -9.75E-010, 
 50.00,  -9.88E-010, 
 50.10,  -8.73E-010, 
 50.20,  -1.01E-009, 
 50.30,  -1.07E-009, 
 50.40,  -8.90E-010, 
 50.50,  -1.03E-009, 
 50.60,  -9.53E-010, 
 50.70,  -7.69E-010, 
 50.80,  -1.03E-009, 
 50.90,  -9.72E-010, 
 51.00,  -7.24E-010, 
 51.10,  -8.31E-010, 
 51.20,  -8.64E-010, 
 51.30,  -6.78E-010, 
 51.40,  -7.19E-010, 
 51.50,  -9.14E-010, 
 51.60,  -7.88E-010, 
 51.70,  -1.07E-009, 
 51.80,  -1.00E-009, 
 51.90,  -7.93E-010, 
 52.00,  -1.00E-009, 
 52.10,  -1.04E-009, 
 52.20,  -8.61E-010, 
 52.30,  -9.17E-010, 
 52.40,  -8.78E-010, 
 52.50,  -7.43E-010, 
 52.60,  -9.23E-010, 
 52.70,  -9.81E-010, 
 52.80,  -8.31E-010, 
 52.90,  -9.02E-010, 
 53.00,  -9.94E-010, 
 53.10,  -7.99E-010, 
 53.20,  -8.63E-010, 
 53.30,  -8.92E-010, 
 53.40,  -8.27E-010, 
 53.50,  -8.89E-010, 
 53.60,  -8.76E-010, 
 53.70,  -8.31E-010, 
 53.80,  -9.78E-010, 
 53.90,  -1.14E-009, 
 54.00,  -1.18E-009, 
 54.10,  -1.07E-009, 
 54.20,  -8.93E-010, 
 54.30,  -6.61E-010, 
 54.40,  -9.27E-010, 
 54.50,  -1.02E-009, 
 54.60,  -8.75E-010, 
 54.70,  -1.13E-009, 
 54.80,  -1.13E-009, 
 54.90,  -9.86E-010, 
 55.00,  -1.07E-009, 
 55.10,  -1.06E-009, 
 55.20,  -9.82E-010, 
 55.30,  -1.08E-009, 
 55.40,  -1.20E-009, 
 55.50,  -1.12E-009, 
 55.60,  -1.08E-009, 
 55.70,  -1.07E-009, 
 55.80,  -8.02E-010, 
 55.90,  -7.96E-010, 
 56.00,  -1.01E-009, 
 56.10,  -8.06E-010, 
 56.20,  -7.49E-010, 
 56.30,  -8.94E-010, 
 56.40,  -8.06E-010, 
 56.50,  -8.33E-010, 
 56.60,  -8.87E-010, 
 56.70,  -8.65E-010, 
 56.80,  -8.08E-010, 
 56.90,  -9.14E-010, 
 57.00,  -9.07E-010, 
 57.10,  -8.72E-010, 
 57.20,  -9.20E-010, 
 57.30,  -7.78E-010, 
 57.40,  -8.77E-010, 
 57.50,  -1.03E-009, 
 57.60,  -9.47E-010, 
 57.70,  -9.00E-010, 
 57.80,  -8.92E-010, 
 57.90,  -9.45E-010, 
 58.00,  -1.04E-009, 
 58.10,  -9.58E-010, 
 58.20,  -9.01E-010, 
 58.30,  -9.88E-010, 
 58.40,  -1.05E-009, 
 58.50,  -1.06E-009, 
 58.60,  -1.16E-009, 
 58.70,  -1.15E-009, 
 58.80,  -1.20E-009, 
 58.90,  -1.22E-009, 
 59.00,  -1.29E-009, 
 59.10,  -1.07E-009, 
 59.20,  -1.05E-009, 
 59.30,  -1.03E-009, 
 59.40,  -1.08E-009, 
 59.50,  -1.14E-009, 
 59.60,  -1.18E-009, 
 59.70,  -1.03E-009, 
 59.80,  -1.07E-009, 
 59.90,  -1.04E-009, 
 60.00,  -8.81E-010, 
 60.10,  -8.01E-010, 
 60.20,  -1.00E-009, 
 60.30,  -9.05E-010, 
 60.40,  -9.31E-010, 
 60.50,  -8.54E-010, 
 60.60,  -8.54E-010, 
 60.70,  -8.36E-010, 
 60.80,  -7.99E-010, 
 60.90,  -9.54E-010, 
 61.00,  -7.34E-010, 
 61.10,  -5.57E-010, 
 61.20,  -7.34E-010, 
 61.30,  -6.66E-010, 
 61.40,  -6.40E-010, 
 61.50,  -8.06E-010, 
 61.60,  -8.47E-010, 
 61.70,  -6.80E-010, 
 61.80,  -8.19E-010, 
 61.90,  -8.05E-010, 
 62.00,  -7.20E-010, 
 62.10,  -8.04E-010, 
 62.20,  -6.94E-010, 
 62.30,  -7.49E-010, 
 62.40,  -9.20E-010, 
 62.50,  -9.06E-010, 
 62.60,  -9.34E-010, 
 62.70,  -1.04E-009, 
 62.80,  -8.60E-010, 
 62.90,  -7.94E-010, 
 63.00,  -9.95E-010, 
 63.10,  -8.86E-010, 
 63.20,  -6.72E-010, 
 63.30,  -8.63E-010, 
 63.40,  -8.84E-010, 
 63.50,  -6.59E-010, 
