Jul 09, 2019  08:42:59 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


 20.00,   4.91E-009, 
 20.10,   5.45E-009, 
 20.20,   4.25E-009, 
 20.30,   2.10E-009, 
 20.40,   1.06E-009, 
 20.50,   4.80E-010, 
 20.60,   7.71E-011, 
 20.70,   3.01E-011, 
 20.80,   2.89E-011, 
 20.90,  -1.64E-010, 
 21.00,  -3.53E-010, 
 21.10,  -2.69E-010, 
 21.20,  -3.92E-010, 
 21.30,  -4.06E-010, 
 21.40,  -1.42E-010, 
 21.50,  -1.58E-010, 
 21.60,  -3.08E-010, 
 21.70,  -3.00E-010, 
 21.80,  -3.14E-010, 
 21.90,  -2.46E-010, 
 22.00,  -2.13E-010, 
 22.10,  -3.06E-010, 
 22.20,  -4.37E-010, 
 22.30,  -3.13E-010, 
 22.40,  -3.58E-010, 
 22.50,  -2.64E-010, 
 22.60,  -2.81E-010, 
 22.70,  -3.59E-010, 
 22.80,  -4.80E-010, 
 22.90,  -4.52E-010, 
 23.00,  -3.99E-010, 
 23.10,  -5.23E-010, 
 23.20,  -3.88E-010, 
 23.30,  -4.10E-010, 
 23.40,  -4.08E-010, 
 23.50,  -3.70E-010, 
 23.60,  -4.90E-010, 
 23.70,  -3.88E-010, 
 23.80,  -3.16E-010, 
 23.90,  -3.63E-010, 
 24.00,  -5.20E-010, 
 24.10,  -5.27E-010, 
 24.20,  -5.83E-010, 
 24.30,  -6.11E-010, 
 24.40,  -4.29E-010, 
 24.50,  -3.95E-010, 
 24.60,  -5.63E-010, 
 24.70,  -5.76E-010, 
 24.80,  -5.95E-010, 
 24.90,  -5.94E-010, 
 25.00,  -5.19E-010, 
 25.10,  -6.11E-010, 
 25.20,  -7.94E-010, 
 25.30,  -7.04E-010, 
 25.40,  -6.67E-010, 
 25.50,  -8.02E-010, 
 25.60,  -7.01E-010, 
 25.70,  -6.05E-010, 
 25.80,  -6.24E-010, 
 25.90,  -4.80E-010, 
 26.00,  -4.87E-010, 
 26.10,  -4.65E-010, 
 26.20,  -4.24E-010, 
 26.30,  -3.72E-010, 
 26.40,  -4.34E-010, 
 26.50,  -4.70E-010, 
 26.60,  -6.90E-010, 
 26.70,  -7.84E-010, 
 26.80,  -2.37E-010, 
