Jul 08, 2019  09:55:22 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 10.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1060, Volts
CEM Gain, 1.11E+003 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps
Start time, Jul 08, 2019  09:55:22 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           H2                    1.00         2            OFF
2         12.00          Carbon                1.00         2            OFF
3         14.00          Nitrogen              1.00         2            OFF
4         16.00          CH4                   1.00         2            OFF
5         18.00          H2O                   1.00         2            OFF
6         28.00          CO                    1.00         2            OFF
7         32.00          O2                    1.00         2            OFF
8         34.00          H2S                   1.00         2            OFF
9         40.00          KH/NaOH               1.00         2            OFF
10        44.00          CO2                   1.00         2            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

230.000,   1.6519E-007,   6.4867E-009,   8.9273E-008,   1.8495E-007,   4.5274E-006,   1.1965E-006,   5.2762E-007,   2.8157E-009,   4.1024E-008,   6.6441E-008,  
240.016,   1.6570E-007,   6.5711E-009,   8.9277E-008,   1.8490E-007,   4.4954E-006,   1.1958E-006,   5.2554E-007,   3.1060E-009,   4.0773E-008,   6.6317E-008,  
250.000,   1.6468E-007,   6.6952E-009,   9.1090E-008,   1.8501E-007,   4.5092E-006,   1.2120E-006,   5.3038E-007,   3.1494E-009,   4.1331E-008,   6.6612E-008,  
260.000,   1.6519E-007,   6.6482E-009,   8.8463E-008,   1.8337E-007,   4.4996E-006,   1.1974E-006,   5.2834E-007,   2.9108E-009,   4.1425E-008,   6.7598E-008,  
270.000,   1.6318E-007,   6.6313E-009,   8.9783E-008,   1.8299E-007,   4.4949E-006,   1.1970E-006,   5.2626E-007,   3.2855E-009,   4.1198E-008,   6.6378E-008,  
280.000,   1.6433E-007,   6.4831E-009,   8.8520E-008,   1.8277E-007,   4.4790E-006,   1.2024E-006,   5.2361E-007,   3.0072E-009,   4.0701E-008,   6.6864E-008,  
290.000,   1.6409E-007,   6.4506E-009,   8.9223E-008,   1.8255E-007,   4.4902E-006,   1.2027E-006,   5.2477E-007,   2.9578E-009,   4.1013E-008,   6.6274E-008,  
300.000,   1.6518E-007,   6.4458E-009,   8.8024E-008,   1.8119E-007,   4.4759E-006,   1.2037E-006,   5.2187E-007,   3.2289E-009,   4.1401E-008,   6.6967E-008,  
310.000,   1.6292E-007,   6.5831E-009,   8.9008E-008,   1.8172E-007,   4.4866E-006,   1.2078E-006,   5.2430E-007,   2.7988E-009,   4.1302E-008,   6.6007E-008,  
320.000,   1.6331E-007,   6.6627E-009,   8.8367E-008,   1.8203E-007,   4.4655E-006,   1.2028E-006,   5.2555E-007,   3.0133E-009,   4.0825E-008,   6.6752E-008,  
330.000,   1.6212E-007,   6.2940E-009,   8.9414E-008,   1.8326E-007,   4.4496E-006,   1.1942E-006,   5.2228E-007,   3.0687E-009,   4.0799E-008,   6.6343E-008,  
340.000,   1.6124E-007,   6.3253E-009,   8.8408E-008,   1.8042E-007,   4.4470E-006,   1.1962E-006,   5.2221E-007,   3.1096E-009,   4.0772E-008,   6.5924E-008,  
350.000,   1.6230E-007,   6.2096E-009,   8.8793E-008,   1.8104E-007,   4.4346E-006,   1.2027E-006,   5.2363E-007,   3.0699E-009,   4.0894E-008,   6.5925E-008,  
360.000,   1.6166E-007,   6.4265E-009,   8.8905E-008,   1.8045E-007,   4.4040E-006,   1.1972E-006,   5.2131E-007,   3.1084E-009,   4.1033E-008,   6.6278E-008,  
370.000,   1.6065E-007,   6.1807E-009,   8.8133E-008,   1.7989E-007,   4.3782E-006,   1.1915E-006,   5.2427E-007,   3.4120E-009,   4.1099E-008,   6.6257E-008,  
