Jul 09, 2019  09:00:39 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


 20.10,   3.03E-008, 
 20.20,   3.04E-008, 
 20.30,   1.77E-008, 
 20.40,   7.97E-009, 
 20.50,   4.45E-009, 
 20.60,   2.59E-009, 
 20.70,   1.68E-009, 
 20.80,   1.21E-009, 
 20.90,   6.12E-010, 
 21.00,   5.49E-010, 
 21.10,   6.80E-010, 
 21.20,   4.47E-010, 
 21.30,   2.05E-010, 
 21.40,   1.37E-010, 
 21.50,   1.82E-010, 
 21.60,   2.23E-010, 
 21.70,   1.57E-010, 
 21.80,   1.05E-010, 
 21.90,   3.58E-010, 
 22.00,   5.81E-010, 
 22.10,   5.58E-010, 
 22.20,   5.84E-010, 
 22.30,   4.83E-010, 
 22.40,   2.41E-012, 
 22.50,  -2.40E-010, 
 22.60,  -2.42E-010, 
 22.70,  -2.75E-010, 
 22.80,  -2.78E-010, 
 22.90,  -3.60E-010, 
 23.00,  -4.20E-010, 
 23.10,  -4.23E-010, 
 23.20,  -3.52E-010, 
 23.30,  -5.73E-010, 
 23.40,  -5.98E-010, 
 23.50,  -5.40E-010, 
 23.60,  -5.64E-010, 
 23.70,  -5.82E-010, 
 23.80,  -5.92E-010, 
 23.90,  -5.60E-010, 
 24.00,  -5.65E-010, 
 24.10,  -4.52E-010, 
 24.20,  -5.43E-010, 
 24.30,  -5.63E-010, 
 24.40,  -5.81E-010, 
 24.50,  -6.59E-010, 
 24.60,  -6.01E-010, 
 24.70,  -6.90E-010, 
 24.80,  -8.00E-010, 
 24.90,  -7.29E-010, 
 25.00,  -6.57E-010, 
 25.10,  -7.01E-010, 
 25.20,  -5.94E-010, 
 25.30,  -5.99E-010, 
 25.40,  -6.16E-010, 
 25.50,  -5.92E-010, 
 25.60,  -4.49E-010, 
 25.70,  -5.67E-010, 
 25.80,  -2.45E-010, 
 25.90,  -7.23E-011, 
 26.00,  -1.77E-010, 
 26.10,  -1.52E-010, 
 26.20,  -4.82E-012, 
