Jul 18, 2019  11:54:33 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


  1.00,  -1.69E-010, 
  1.10,   1.42E-010, 
  1.20,   3.20E-008, 
  1.30,   4.56E-007, 
  1.40,   1.42E-007, 
  1.50,   3.92E-008, 
  1.60,   5.37E-008, 
  1.70,   1.01E-007, 
  1.80,   1.55E-007, 
  1.90,   2.04E-007, 
  2.00,   2.27E-007, 
  2.10,   2.31E-007, 
  2.20,   2.17E-007, 
  2.30,   1.63E-007, 
  2.40,   5.94E-008, 
  2.50,   1.81E-008, 
  2.60,   8.44E-009, 
  2.70,   4.79E-009, 
  2.80,   3.05E-009, 
  2.90,   2.05E-009, 
  3.00,   1.64E-009, 
  3.10,   1.05E-009, 
  3.20,   6.78E-010, 
  3.30,   3.98E-010, 
  3.40,   1.76E-010, 
  3.50,   8.19E-011, 
  3.60,   8.43E-011, 
  3.70,  -9.64E-011, 
  3.80,  -2.41E-010, 
  3.90,  -1.72E-010, 
  4.00,  -3.11E-010, 
  4.10,  -3.45E-010, 
  4.20,  -3.22E-010, 
  4.30,  -4.89E-010, 
  4.40,  -3.86E-010, 
  4.50,  -3.33E-010, 
  4.60,  -4.81E-010, 
  4.70,  -4.71E-010, 
  4.80,  -3.42E-010, 
  4.90,  -4.48E-010, 
  5.00,  -7.35E-010, 
  5.10,  -7.82E-010, 
  5.20,  -8.80E-010, 
  5.30,  -7.49E-010, 
  5.40,  -7.18E-010, 
  5.50,  -7.24E-010, 
  5.60,  -7.29E-010, 
  5.70,  -6.66E-010, 
  5.80,  -6.82E-010, 
  5.90,  -7.36E-010, 
  6.00,  -5.93E-010, 
  6.10,  -5.77E-010, 
  6.20,  -6.60E-010, 
  6.30,  -5.25E-010, 
  6.40,  -6.49E-010, 
  6.50,  -7.73E-010, 
