Jul 18, 2019  08:10:38 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


 19.90,   7.52E-009, 
 20.00,   8.66E-009, 
 20.10,   9.49E-009, 
 20.20,   7.62E-009, 
 20.30,   4.07E-009, 
 20.40,   2.11E-009, 
 20.50,   1.07E-009, 
 20.60,   5.10E-010, 
 20.70,   4.13E-010, 
 20.80,   5.66E-011, 
 20.90,  -1.69E-010, 
 21.00,  -3.28E-010, 
 21.10,  -4.53E-010, 
 21.20,  -4.25E-010, 
 21.30,  -2.76E-010, 
 21.40,  -2.01E-010, 
 21.50,  -2.86E-010, 
 21.60,  -6.51E-011, 
 21.70,  -1.70E-010, 
 21.80,  -2.40E-010, 
 21.90,  -1.17E-010, 
 22.00,  -2.47E-010, 
 22.10,  -1.08E-010, 
 22.20,  -1.27E-010, 
 22.30,  -3.00E-010, 
 22.40,  -4.82E-010, 
 22.50,  -3.98E-010, 
 22.60,  -5.20E-010, 
 22.70,  -5.78E-010, 
 22.80,  -4.11E-010, 
 22.90,  -5.64E-010, 
 23.00,  -5.25E-010, 
 23.10,  -3.67E-010, 
 23.20,  -5.27E-010, 
 23.30,  -7.54E-010, 
 23.40,  -6.08E-010, 
 23.50,  -7.20E-010, 
 23.60,  -5.63E-010, 
 23.70,  -4.86E-010, 
 23.80,  -6.19E-010, 
 23.90,  -7.02E-010, 
 24.00,  -6.57E-010, 
 24.10,  -6.93E-010, 
 24.20,  -5.90E-010, 
 24.30,  -4.75E-010, 
 24.40,  -4.71E-010, 
 24.50,  -4.59E-010, 
 24.60,  -3.72E-010, 
 24.70,  -5.48E-010, 
 24.80,  -6.76E-010, 
 24.90,  -7.16E-010, 
 25.00,  -7.52E-010, 
 25.10,  -7.22E-010, 
 25.20,  -7.39E-010, 
 25.30,  -7.81E-010, 
 25.40,  -7.30E-010, 
 25.50,  -6.29E-010, 
 25.60,  -6.47E-010, 
 25.70,  -6.84E-010, 
 25.80,  -2.92E-010, 
 25.90,  -4.39E-010, 
 26.00,  -3.99E-010, 
 26.10,  -2.04E-010, 
 26.20,  -2.37E-010, 
 26.30,  -5.18E-010, 
 26.40,  -5.59E-010, 
 26.50,  -5.82E-010, 
 26.60,  -5.30E-010, 
 26.70,  -2.60E-010, 
 26.80,  -5.54E-011, 
 26.90,   6.65E-010, 
 27.00,   1.97E-009, 
 27.10,   3.74E-009, 
 27.20,   8.08E-009, 
 27.30,   2.09E-008, 
 27.40,   9.01E-008, 
 27.50,   6.07E-007, 
 27.60,   9.75E-007, 
 27.70,   1.32E-006, 
 27.80,   1.30E-006, 
 27.90,   1.37E-006, 
 28.00,   1.53E-006, 
 28.10,   1.48E-006, 
 28.20,   3.38E-007, 
 28.30,   3.51E-008, 
 28.40,   1.45E-008, 
 28.50,   1.03E-008, 
 28.60,   1.02E-008, 
 28.70,   1.18E-008, 
 28.80,   1.30E-008, 
 28.90,   1.34E-008, 
 29.00,   1.41E-008, 
 29.10,   1.50E-008, 
 29.20,   1.06E-008, 
 29.30,   5.68E-009, 
 29.40,   3.29E-009, 
 29.50,   2.26E-009, 
 29.60,   2.07E-009, 
 29.70,   2.22E-009, 
 29.80,   2.26E-009, 
 29.90,   2.45E-009, 
 30.00,   2.70E-009, 
 30.10,   2.73E-009, 
 30.20,   1.98E-009, 
 30.30,   1.12E-009, 
 30.40,   5.93E-010, 
 30.50,   3.90E-010, 
 30.60,   4.67E-010, 
 30.70,   3.47E-010, 
 30.80,   5.12E-010, 
 30.90,   8.05E-010, 
 31.00,   1.15E-009, 
 31.10,   2.01E-009, 
 31.20,   4.07E-009, 
 31.30,   9.45E-009, 
 31.40,   3.82E-008, 
 31.50,   2.26E-007, 
 31.60,   3.91E-007, 
 31.70,   5.36E-007, 
 31.80,   5.35E-007, 
 31.90,   5.41E-007, 
 32.00,   5.80E-007, 
 32.10,   4.76E-007, 
 32.20,   9.51E-008, 
 32.30,   2.17E-008, 
 32.40,   1.04E-008, 
 32.50,   6.04E-009, 
 32.60,   4.15E-009, 
 32.70,   3.13E-009, 
 32.80,   2.47E-009, 
 32.90,   2.14E-009, 
 33.00,   1.95E-009, 
 33.10,   1.57E-009, 
 33.20,   1.09E-009, 
 33.30,   6.45E-010, 
 33.40,   3.24E-010, 
 33.50,   6.25E-010, 
 33.60,   1.19E-009, 
 33.70,   1.41E-009, 
 33.80,   1.76E-009, 
 33.90,   2.09E-009, 
 34.00,   1.82E-009, 
 34.10,   1.77E-009, 
 34.20,   1.26E-009, 
 34.30,   4.81E-010, 
 34.40,   3.49E-010, 
 34.50,   1.92E-010, 
 34.60,   7.23E-012, 
 34.70,  -1.13E-010, 
 34.80,  -1.52E-010, 
 34.90,  -3.58E-010, 
 35.00,  -3.29E-010, 
 35.10,  -3.84E-010, 
 35.20,  -4.63E-010, 
 35.30,  -3.65E-010, 
 35.40,  -3.58E-010, 
 35.50,  -3.36E-010, 
 35.60,  -3.51E-010, 
 35.70,  -3.27E-010, 
 35.80,  -3.39E-010, 
 35.90,  -3.60E-010, 
 36.00,  -3.55E-010, 
 36.10,  -3.83E-010, 
 36.20,  -3.35E-010, 
 36.30,  -3.72E-010, 
 36.40,  -4.40E-010, 
 36.50,  -5.16E-010, 
 36.60,  -4.86E-010, 
 36.70,  -5.29E-010, 
 36.80,  -5.11E-010, 
 36.90,  -5.81E-010, 
 37.00,  -4.92E-010, 
 37.10,  -4.49E-010, 
 37.20,  -4.73E-010, 
 37.30,  -5.33E-010, 
 37.40,  -4.53E-010, 
 37.50,  -5.36E-010, 
 37.60,  -6.59E-010, 
 37.70,  -5.88E-010, 
 37.80,  -5.73E-010, 
 37.90,  -5.36E-010, 
 38.00,  -4.64E-010, 
 38.10,  -3.94E-010, 
 38.20,  -5.48E-010, 
 38.30,  -4.28E-010, 
 38.40,  -4.87E-010, 
 38.50,  -7.70E-010, 
 38.60,  -6.87E-010, 
 38.70,  -7.11E-010, 
 38.80,  -6.00E-010, 
 38.90,  -4.23E-010, 
 39.00,  -3.18E-010, 
 39.10,  -1.01E-010, 
 39.20,  -2.77E-011, 
 39.30,   3.04E-010, 
 39.40,   2.33E-009, 
 39.50,   8.37E-009, 
 39.60,   1.80E-008, 
 39.70,   2.85E-008, 
 39.80,   3.76E-008, 
 39.90,   4.14E-008, 
 40.00,   4.26E-008, 
 40.10,   3.21E-008, 
 40.20,   1.41E-008, 
 40.30,   6.43E-009, 
 40.40,   3.31E-009, 
 40.50,   1.87E-009, 
 40.60,   1.06E-009, 
 40.70,   7.61E-010, 
 40.80,   5.33E-010, 
 40.90,   3.92E-010, 
 41.00,   2.71E-010, 
 41.10,   1.02E-010, 
 41.20,  -1.01E-010, 
 41.30,  -2.29E-010, 
 41.40,  -3.84E-010, 
