Jul 19, 2019  06:00:16 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


 20.10,   6.72E-008, 
 20.20,   6.83E-008, 
 20.30,   4.58E-008, 
 20.40,   1.67E-008, 
 20.50,   7.93E-009, 
 20.60,   4.55E-009, 
 20.70,   3.04E-009, 
 20.80,   2.21E-009, 
 20.90,   1.85E-009, 
 21.00,   1.57E-009, 
 21.10,   1.41E-009, 
 21.20,   1.52E-009, 
 21.30,   1.18E-009, 
 21.40,   7.39E-010, 
 21.50,   5.88E-010, 
 21.60,   4.69E-010, 
 21.70,   4.08E-010, 
 21.80,   4.31E-010, 
 21.90,   5.87E-010, 
 22.00,   8.69E-010, 
 22.10,   8.73E-010, 
 22.20,   9.69E-010, 
 22.30,   8.53E-010, 
 22.40,   4.02E-010, 
 22.50,   1.08E-011, 
 22.60,  -2.88E-010, 
 22.70,  -3.16E-010, 
 22.80,  -4.37E-010, 
 22.90,  -4.19E-010, 
 23.00,  -3.82E-010, 
 23.10,  -5.43E-010, 
 23.20,  -5.12E-010, 
 23.30,  -5.65E-010, 
 23.40,  -4.95E-010, 
 23.50,  -5.48E-010, 
 23.60,  -4.20E-010, 
 23.70,  -4.23E-010, 
 23.80,  -6.27E-010, 
 23.90,  -7.04E-010, 
 24.00,  -7.20E-010, 
 24.10,  -8.52E-010, 
 24.20,  -7.78E-010, 
 24.30,  -6.64E-010, 
 24.40,  -7.11E-010, 
 24.50,  -6.20E-010, 
 24.60,  -6.72E-010, 
 24.70,  -8.72E-010, 
 24.80,  -8.04E-010, 
 24.90,  -6.66E-010, 
 25.00,  -7.47E-010, 
 25.10,  -6.35E-010, 
 25.20,  -5.10E-010, 
 25.30,  -6.45E-010, 
 25.40,  -6.94E-010, 
 25.50,  -6.96E-010, 
 25.60,  -6.04E-010, 
 25.70,  -5.31E-010, 
 25.80,  -4.89E-010, 
 25.90,  -5.19E-010, 
 26.00,  -3.63E-010, 
 26.10,  -3.57E-010, 
 26.20,  -3.55E-010, 
 26.30,  -3.76E-010, 
 26.40,  -5.23E-010, 
 26.50,  -6.40E-010, 
 26.60,  -4.36E-010, 
 26.70,  -1.14E-010, 
 26.80,   7.23E-011, 
 26.90,   7.92E-010, 
 27.00,   2.35E-009, 
 27.10,   4.56E-009, 
 27.20,   1.06E-008, 
 27.30,   2.52E-008, 
 27.40,   5.51E-008, 
 27.50,   3.32E-007, 
 27.60,   1.12E-006, 
 27.70,   1.68E-006, 
 27.80,   2.40E-006, 
 27.90,   2.42E-006, 
 28.00,   2.77E-006, 
 28.10,   3.03E-006, 
 28.20,   2.98E-006, 
 28.30,   1.18E-006, 
 28.40,   6.86E-008, 
 28.50,   2.19E-008, 
 28.60,   1.76E-008, 
 28.70,   2.14E-008, 
 28.80,   3.01E-008, 
 28.90,   3.61E-008, 
 29.00,   4.02E-008, 
 29.10,   4.35E-008, 
 29.20,   4.59E-008, 
 29.30,   3.50E-008, 
 29.40,   1.50E-008, 
 29.50,   7.87E-009, 
 29.60,   5.96E-009, 
 29.70,   6.23E-009, 
 29.80,   7.59E-009, 
 29.90,   8.75E-009, 
 30.00,   9.92E-009, 
 30.10,   1.07E-008, 
 30.20,   1.16E-008, 
 30.30,   9.71E-009, 
 30.40,   4.94E-009, 
 30.50,   2.64E-009, 
 30.60,   1.61E-009, 
 30.70,   1.04E-009, 
 30.80,   9.06E-010, 
 30.90,   1.45E-009, 
 31.00,   2.38E-009, 
 31.10,   4.03E-009, 
 31.20,   8.54E-009, 
 31.30,   1.73E-008, 
 31.40,   3.33E-008, 
 31.50,   1.66E-007, 
 31.60,   6.51E-007, 
 31.70,   1.01E-006, 
 31.80,   1.51E-006, 
 31.90,   1.58E-006, 
 32.00,   1.73E-006, 
 32.10,   1.81E-006, 
 32.20,   1.69E-006, 
 32.30,   6.08E-007, 
 32.40,   5.23E-008, 
 32.50,   1.74E-008, 
 32.60,   9.47E-009, 
 32.70,   6.88E-009, 
 32.80,   6.08E-009, 
 32.90,   5.93E-009, 
 33.00,   5.97E-009, 
 33.10,   5.98E-009, 
 33.20,   5.89E-009, 
 33.30,   5.01E-009, 
 33.40,   3.09E-009, 
 33.50,   1.98E-009, 
 33.60,   2.15E-009, 
 33.70,   2.99E-009, 
 33.80,   4.68E-009, 
 33.90,   6.18E-009, 
 34.00,   7.17E-009, 
 34.10,   7.77E-009, 
 34.20,   8.37E-009, 
 34.30,   6.99E-009, 
 34.40,   3.62E-009, 
 34.50,   1.83E-009, 
 34.60,   9.94E-010, 
 34.70,   5.60E-010, 
 34.80,   2.43E-010, 
 34.90,   4.94E-011, 
 35.00,  -1.00E-010, 
 35.10,  -9.52E-011, 
 35.20,  -1.04E-010, 
 35.30,  -4.10E-011, 
 35.40,  -1.69E-011, 
 35.50,  -1.13E-010, 
 35.60,  -1.93E-010, 
 35.70,  -2.08E-010, 
 35.80,   2.65E-011, 
 35.90,   1.67E-010, 
 36.00,   3.00E-010, 
 36.10,   4.69E-010, 
 36.20,   3.64E-010, 
 36.30,   2.49E-010, 
 36.40,  -1.20E-010, 
 36.50,  -2.81E-010, 
 36.60,  -3.49E-010, 
 36.70,  -4.66E-010, 
 36.80,  -5.10E-010, 
 36.90,  -5.46E-010, 
 37.00,  -5.53E-010, 
 37.10,  -6.45E-010, 
 37.20,  -7.00E-010, 
 37.30,  -5.57E-010, 
 37.40,  -6.33E-010, 
 37.50,  -7.96E-010, 
 37.60,  -6.17E-010, 
 37.70,  -7.06E-010, 
 37.80,  -6.39E-010, 
 37.90,  -4.02E-010, 
 38.00,  -4.66E-010, 
 38.10,  -5.17E-010, 
 38.20,  -4.70E-010, 
 38.30,  -6.67E-010, 
 38.40,  -6.23E-010, 
 38.50,  -5.58E-010, 
 38.60,  -4.93E-010, 
 38.70,  -4.16E-010, 
 38.80,  -4.83E-010, 
 38.90,  -5.12E-010, 
 39.00,  -3.53E-010, 
 39.10,  -1.42E-010, 
 39.20,  -1.29E-010, 
 39.30,   4.04E-010, 
 39.40,   8.49E-010, 
 39.50,   2.16E-009, 
 39.60,   1.00E-008, 
 39.70,   2.46E-008, 
 39.80,   4.86E-008, 
 39.90,   6.41E-008, 
 40.00,   8.11E-008, 
 40.10,   8.44E-008, 
 40.20,   7.66E-008, 
 40.30,   4.65E-008, 
 40.40,   1.69E-008, 
 40.50,   7.34E-009, 
 40.60,   3.88E-009, 
 40.70,   2.13E-009, 
 40.80,   1.31E-009, 
 40.90,   1.01E-009, 
 41.00,   7.72E-010, 
 41.10,   5.40E-010, 
 41.20,   3.20E-010, 
 41.30,   3.43E-010, 
 41.40,   4.33E-010, 
 41.50,  -8.43E-012, 
 41.60,  -2.98E-010, 
 41.70,  -2.41E-010, 
 41.80,  -6.87E-011, 
 41.90,  -2.57E-010, 
 42.00,  -2.55E-010, 
 42.10,  -1.53E-010, 
 42.20,  -1.64E-010, 
 42.30,  -2.30E-010, 
 42.40,  -2.00E-010, 
 42.50,  -4.58E-010, 
 42.60,  -4.33E-010, 
 42.70,  -3.89E-010, 
 42.80,  -2.60E-010, 
 42.90,   1.28E-010, 
 43.00,   3.60E-010, 
 43.10,   5.69E-010, 
 43.20,   9.80E-010, 
 43.30,   1.42E-009, 
 43.40,   1.85E-009, 
 43.50,   3.08E-009, 
 43.60,   1.13E-008, 
 43.70,   2.95E-008, 
 43.80,   5.92E-008, 
 43.90,   8.35E-008, 
 44.00,   1.07E-007, 
 44.10,   1.19E-007, 
 44.20,   1.12E-007, 
 44.30,   7.63E-008, 
