Jul 05, 2019  11:35:52 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


  1.00,  -4.27E-010, 
  1.10,  -1.23E-010, 
  1.20,   5.86E-009, 
  1.30,   8.41E-008, 
  1.40,   6.35E-008, 
  1.50,   2.56E-008, 
  1.60,   2.98E-008, 
  1.70,   4.87E-008, 
  1.80,   7.02E-008, 
  1.90,   9.54E-008, 
  2.00,   1.14E-007, 
  2.10,   1.16E-007, 
  2.20,   1.12E-007, 
  2.30,   8.72E-008, 
  2.40,   4.00E-008, 
  2.50,   1.48E-008, 
  2.60,   7.36E-009, 
  2.70,   4.10E-009, 
  2.80,   2.48E-009, 
  2.90,   1.76E-009, 
  3.00,   1.20E-009, 
  3.10,   6.94E-010, 
  3.20,   5.37E-010, 
  3.30,   2.45E-010, 
  3.40,   1.77E-010, 
  3.50,   2.01E-010, 
  3.60,  -1.33E-011, 
  3.70,  -2.54E-010, 
  3.80,  -2.66E-010, 
  3.90,  -4.78E-010, 
  4.00,  -4.43E-010, 
  4.10,  -3.41E-010, 
  4.20,  -4.65E-010, 
  4.30,  -5.59E-010, 
  4.40,  -3.40E-010, 
  4.50,  -3.81E-010, 
  4.60,  -4.63E-010, 
  4.70,  -3.46E-010, 
  4.80,  -3.80E-010, 
  4.90,  -4.13E-010, 
  5.00,  -2.04E-010, 
  5.10,  -6.99E-011, 
  5.20,  -6.39E-011, 
  5.30,  -2.71E-010, 
  5.40,  -3.42E-010, 
  5.50,  -3.86E-010, 
  5.60,  -4.47E-010, 
  5.70,  -4.75E-010, 
  5.80,  -4.48E-010, 
  5.90,  -3.49E-010, 
  6.00,  -4.29E-010, 
  6.10,  -5.70E-010, 
  6.20,  -4.70E-010, 
  6.30,  -5.00E-010, 
  6.40,  -5.46E-010, 
  6.50,  -4.81E-010, 
