Jul 05, 2019  10:32:10 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


 20.10,   1.35E-008, 
 20.20,   1.44E-008, 
 20.30,   1.22E-008, 
 20.40,   6.35E-009, 
 20.50,   3.34E-009, 
 20.60,   1.95E-009, 
 20.70,   1.26E-009, 
 20.80,   8.30E-010, 
 20.90,   7.77E-010, 
 21.00,   4.98E-010, 
 21.10,   3.95E-010, 
 21.20,   3.89E-010, 
 21.30,   2.43E-010, 
 21.40,   1.80E-010, 
 21.50,  -2.77E-011, 
 21.60,  -9.64E-011, 
 21.70,   3.41E-010, 
 21.80,   4.11E-010, 
 21.90,   3.92E-010, 
 22.00,   3.70E-010, 
 22.10,   4.20E-010, 
 22.20,   4.92E-010, 
 22.30,   5.58E-010, 
 22.40,   2.76E-010, 
 22.50,   2.17E-011, 
 22.60,   1.14E-010, 
 22.70,   3.86E-011, 
 22.80,  -5.90E-011, 
 22.90,   1.20E-011, 
 23.00,  -4.82E-011, 
 23.10,  -2.41E-010, 
 23.20,  -1.47E-010, 
 23.30,  -1.43E-010, 
 23.40,  -3.02E-010, 
 23.50,  -3.02E-010, 
 23.60,  -5.54E-011, 
 23.70,  -7.11E-011, 
 23.80,  -2.53E-011, 
 23.90,   6.75E-011, 
 24.00,  -7.83E-011, 
 24.10,   8.43E-012, 
 24.20,   1.19E-010, 
 24.30,   6.51E-011, 
 24.40,  -3.73E-011, 
 24.50,  -2.14E-010, 
 24.60,  -2.71E-010, 
 24.70,  -7.23E-011, 
 24.80,   3.82E-010, 
 24.90,   4.88E-010, 
 25.00,   4.94E-010, 
 25.10,   7.46E-010, 
 25.20,   7.98E-010, 
 25.30,   7.30E-010, 
 25.40,   2.95E-010, 
 25.50,  -1.06E-010, 
 25.60,   1.90E-010, 
 25.70,   9.88E-010, 
 25.80,   1.91E-009, 
 25.90,   2.91E-009, 
 26.00,   4.10E-009, 
 26.10,   4.62E-009, 
 26.20,   5.12E-009, 
 26.30,   5.16E-009, 
 26.40,   2.83E-009, 
 26.50,   1.55E-009, 
 26.60,   1.31E-009, 
 26.70,   2.04E-009, 
 26.80,   3.57E-009, 
 26.90,   5.25E-009, 
 27.00,   6.55E-009, 
 27.10,   8.49E-009, 
 27.20,   1.21E-008, 
 27.30,   1.62E-008, 
 27.40,   2.09E-008, 
 27.50,   5.51E-008, 
 27.60,   3.76E-007, 
 27.70,   7.74E-007, 
 27.80,   1.20E-006, 
 27.90,   1.31E-006, 
 28.00,   1.42E-006, 
 28.10,   1.52E-006, 
 28.20,   1.59E-006, 
 28.30,   9.34E-007, 
 28.40,   7.58E-008, 
 28.50,   2.11E-008, 
 28.60,   1.31E-008, 
 28.70,   1.40E-008, 
 28.80,   1.80E-008, 
 28.90,   2.21E-008, 
 29.00,   2.50E-008, 
 29.10,   2.56E-008, 
 29.20,   2.79E-008, 
 29.30,   2.53E-008, 
 29.40,   1.26E-008, 
 29.50,   6.38E-009, 
 29.60,   4.28E-009, 
 29.70,   3.83E-009, 
 29.80,   4.34E-009, 
 29.90,   5.20E-009, 
 30.00,   5.89E-009, 
 30.10,   6.21E-009, 
 30.20,   6.66E-009, 
 30.30,   6.23E-009, 
 30.40,   3.92E-009, 
 30.50,   2.29E-009, 
 30.60,   1.64E-009, 
 30.70,   1.72E-009, 
 30.80,   1.94E-009, 
 30.90,   2.20E-009, 
 31.00,   2.74E-009, 
 31.10,   3.52E-009, 
 31.20,   4.87E-009, 
 31.30,   6.58E-009, 
 31.40,   8.48E-009, 
 31.50,   1.79E-008, 
 31.60,   9.77E-008, 
 31.70,   2.87E-007, 
 31.80,   4.44E-007, 
 31.90,   5.25E-007, 
 32.00,   5.66E-007, 
 32.10,   5.75E-007, 
 32.20,   5.68E-007, 
 32.30,   3.24E-007, 
 32.40,   4.57E-008, 
 32.50,   1.63E-008, 
 32.60,   8.60E-009, 
 32.70,   5.33E-009, 
 32.80,   4.05E-009, 
 32.90,   3.28E-009, 
 33.00,   2.40E-009, 
 33.10,   2.07E-009, 
 33.20,   1.98E-009, 
 33.30,   1.51E-009, 
 33.40,   1.26E-009, 
 33.50,   9.92E-010, 
 33.60,   7.17E-010, 
 33.70,   8.82E-010, 
 33.80,   1.37E-009, 
 33.90,   1.56E-009, 
 34.00,   1.84E-009, 
 34.10,   2.19E-009, 
 34.20,   2.22E-009, 
 34.30,   2.02E-009, 
 34.40,   1.43E-009, 
 34.50,   7.02E-010, 
 34.60,   2.23E-010, 
 34.70,   2.63E-010, 
 34.80,   1.73E-010, 
 34.90,   6.02E-012, 
 35.00,   1.20E-012, 
 35.10,  -5.90E-011, 
 35.20,  -1.20E-012, 
 35.30,   2.29E-011, 
 35.40,  -5.42E-011, 
 35.50,   1.01E-010, 
 35.60,  -2.17E-011, 
 35.70,  -4.10E-011, 
 35.80,   1.18E-010, 
 35.90,   4.49E-010, 
 36.00,   3.65E-010, 
 36.10,   4.29E-010, 
 36.20,   5.06E-010, 
 36.30,   3.08E-010, 
 36.40,   1.45E-010, 
 36.50,   1.69E-011, 
 36.60,  -7.35E-011, 
 36.70,  -1.29E-010, 
 36.80,   1.53E-010, 
 36.90,   2.64E-010, 
 37.00,   3.87E-010, 
 37.10,   5.16E-010, 
 37.20,   3.75E-010, 
 37.30,   3.35E-010, 
 37.40,   5.28E-010, 
 37.50,   2.87E-010, 
 37.60,  -3.01E-011, 
 37.70,  -1.45E-011, 
 37.80,  -1.70E-010, 
 37.90,   1.20E-010, 
 38.00,   5.71E-010, 
 38.10,   6.33E-010, 
 38.20,   6.72E-010, 
 38.30,   8.08E-010, 
 38.40,   3.89E-010, 
 38.50,   2.19E-010, 
 38.60,   2.00E-010, 
 38.70,   2.60E-010, 
 38.80,   8.64E-010, 
 38.90,   1.89E-009, 
 39.00,   2.73E-009, 
 39.10,   3.56E-009, 
 39.20,   4.27E-009, 
 39.30,   4.25E-009, 
 39.40,   3.13E-009, 
 39.50,   2.52E-009, 
 39.60,   4.07E-009, 
 39.70,   1.14E-008, 
 39.80,   2.21E-008, 
 39.90,   3.32E-008, 
 40.00,   4.48E-008, 
 40.10,   5.12E-008, 
 40.20,   4.91E-008, 
 40.30,   3.67E-008, 
 40.40,   1.61E-008, 
 40.50,   7.32E-009, 
 40.60,   3.94E-009, 
 40.70,   3.03E-009, 
 40.80,   3.12E-009, 
 40.90,   3.73E-009, 
 41.00,   4.54E-009, 
 41.10,   5.50E-009, 
 41.20,   6.08E-009, 
 41.30,   6.22E-009, 
 41.40,   4.62E-009, 
 41.50,   2.57E-009, 
 41.60,   1.42E-009, 
 41.70,   1.14E-009, 
 41.80,   1.55E-009, 
 41.90,   2.50E-009, 
 42.00,   3.23E-009, 
 42.10,   4.39E-009, 
 42.20,   5.18E-009, 
 42.30,   4.93E-009, 
 42.40,   3.73E-009, 
 42.50,   1.92E-009, 
 42.60,   1.05E-009, 
 42.70,   1.56E-009, 
 42.80,   2.75E-009, 
 42.90,   4.62E-009, 
 43.00,   6.74E-009, 
 43.10,   8.56E-009, 
 43.20,   9.78E-009, 
 43.30,   9.92E-009, 
 43.40,   7.39E-009, 
 43.50,   4.96E-009, 
 43.60,   6.44E-009, 
 43.70,   1.73E-008, 
 43.80,   3.29E-008, 
 43.90,   5.15E-008, 
 44.00,   7.12E-008, 
 44.10,   8.21E-008, 
 44.20,   8.17E-008, 
 44.30,   6.42E-008, 
 44.40,   2.79E-008, 
 44.50,   1.14E-008, 
 44.60,   6.13E-009, 
 44.70,   4.27E-009, 
 44.80,   4.54E-009, 
 44.90,   5.76E-009, 
 45.00,   6.79E-009, 
 45.10,   8.37E-009, 
 45.20,   9.72E-009, 
 45.30,   9.47E-009, 
 45.40,   7.12E-009, 
 45.50,   3.85E-009, 
 45.60,   1.81E-009, 
 45.70,   1.18E-009, 
 45.80,   7.48E-010, 
 45.90,   4.66E-010, 
 46.00,   4.90E-010, 
 46.10,   6.10E-010, 
 46.20,   7.28E-010, 
 46.30,   6.72E-010, 
 46.40,   4.76E-010, 
 46.50,   1.33E-010, 
 46.60,  -9.40E-011, 
 46.70,   3.13E-011, 
 46.80,   1.27E-010, 
 46.90,   2.13E-010, 
 47.00,   4.30E-010, 
 47.10,   3.96E-010, 
 47.20,   6.95E-010, 
 47.30,   7.36E-010, 
 47.40,   1.04E-010, 
 47.50,  -1.00E-010, 
 47.60,  -8.43E-012, 
 47.70,  -1.59E-010, 
 47.80,  -2.05E-010, 
 47.90,  -1.34E-010, 
 48.00,  -2.83E-010, 
 48.10,  -1.87E-010, 
 48.20,  -2.05E-011, 
 48.30,  -1.78E-010, 
 48.40,  -3.81E-010, 
 48.50,  -3.24E-010, 
 48.60,  -4.77E-010, 
 48.70,  -6.02E-010, 
 48.80,  -6.33E-010, 
 48.90,  -6.76E-010, 
 49.00,  -6.41E-010, 
 49.10,  -5.63E-010, 
 49.20,  -7.53E-010, 
 49.30,  -6.18E-010, 
 49.40,  -4.84E-010, 
 49.50,  -6.47E-010, 
 49.60,  -5.71E-010, 
 49.70,  -3.94E-010, 
 49.80,  -4.65E-010, 
 49.90,  -3.31E-010, 
 50.00,  -1.41E-010, 
 50.10,  -2.19E-010, 
 50.20,  -1.20E-011, 
 50.30,   3.51E-010, 
 50.40,   2.05E-011, 
 50.50,  -2.33E-010, 
 50.60,  -4.07E-010, 
 50.70,  -6.25E-010, 
 50.80,  -4.57E-010, 
 50.90,  -2.86E-010, 
 51.00,  -3.07E-010, 
 51.10,   1.81E-011, 
 51.20,   1.90E-010, 
 51.30,   2.02E-010, 
 51.40,   7.71E-011, 
 51.50,  -3.13E-011, 
 51.60,  -2.43E-010, 
 51.70,  -2.58E-010, 
 51.80,  -2.42E-010, 
 51.90,  -5.13E-010, 
 52.00,  -5.70E-010, 
 52.10,  -5.63E-010, 
 52.20,  -6.72E-010, 
 52.30,  -6.83E-010, 
 52.40,  -5.23E-010, 
 52.50,  -6.63E-010, 
 52.60,  -6.52E-010, 
 52.70,  -4.76E-010, 
 52.80,  -5.65E-010, 
 52.90,  -4.41E-010, 
 53.00,  -3.35E-010, 
 53.10,  -4.42E-010, 
 53.20,  -4.08E-010, 
